id,name,description,price
1,Nikon D850 DSLR Camera,24.2MP DSLR camera with 4K video recording capability,250000
2,Canon EOS R5 Mirrorless,45MP mirrorless camera with advanced autofocus system,320000
3,Sony A7R IV Mirrorless,61MP full-frame mirrorless camera with excellent dynamic range,280000
4,Adobe Photoshop CC Software,Professional image editing software with creative tools,15000
5,Adobe Premiere Pro CC,Video editing software for professional content creators,20000
6,Canon EF 24-70mm f/2.8L Lens,Professional zoom lens for Canon cameras,85000
7,Nikon AF-S 70-200mm f/2.8G Lens,Telephoto zoom lens for sports and wildlife photography,120000
8,Manfrotto 055XPRO3 Tripod,Carbon fiber 3-section tripod with 3D adjustable head,25000
9,Godox AD200Pro Flash,Portable flash with 200Ws power and interchangeable heads,18000
10,SmallRig Camera Cage,Aluminum camera cage with multiple mounting points,12000
11,Zoom H4n Pro Recorder,4-channel audio recorder with XLR inputs for video,45000
12,Sigma 35mm f/1.4 Art Lens,Prime lens with exceptional sharpness for portrait photography,65000
13,Profoto B10 Off-Camera Flash,Powerful off-camera flash with modeling light,180000
14,Blackmagic Pocket 6K Pro,Professional cinema camera with 6K recording,450000
15,Final Cut Pro Software,Professional video editing software for Mac users,30000
